198701	51.9
198749	51.7
198750	51.28
198751	51.0
198752	50.05
198801	48.78
198802	49.55
198803	48.3
198804	49.85
198805	50.4
198806	52.2
198807	52.65
198808	51.8
198809	53.2
198810	52.25
198811	53.22
198812	54.0
198813	53.1
198814	52.65
198815	54.0
198816	52.5
198817	51.15
198818	52.5
198819	52.5
198820	53.15
198821	53.9
198822	53.15
198823	52.75
198824	53.95
198825	53.22
198826	53.1
198827	54.05
198828	53.25
198829	52.25
198830	53.1
198831	52.8
198832	52.9
198833	51.75
198834	52.1
198835	53.28
198836	52.8
198837	55.3
198838	54.0
198839	52.0
198840	53.9
198841	54.08
198842	53.9
198843	54.78
198844	52.9
198845	54.0
198846	53.53
198847	57.2
198848	54.6
198849	56.35
198850	56.25
198851	54.4
198852	57.2
198853	56.3
198901	56.1
198902	56.0
198903	54.6
198904	57.0
198905	57.0
198906	58.1
198907	56.0
198908	54.0
198909	57.6
198910	56.1
198911	55.0
198912	56.95
198913	54.0
198914	56.0
198915	55.8
198916	57.95
198917	55.15
198918	55.0
198919	58.5
198920	56.4
198921	58.0
198922	56.1
198923	54.6
198924	57.0
198925	59.2
198926	57.5
198927	57.5
198928	56.0
198929	59.0
198930	56.1
198931	55.2
198932	54.45
198933	57.2
198934	56.7
198935	58.65
198936	57.6
198937	54.83
198938	55.42
198939	54.4
198940	57.6
198941	57.4
198942	57.42
198943	55.5
198944	57.4
198945	55.5
198946	55.9
198947	58.5
198948	56.38
198949	56.05
198950	57.35
198951	58.82
198952	55.55
199001	55.2
199002	57.5
199003	54.6
199004	56.35
199005	56.0
199006	60.8
199007	57.63
199008	56.7
199009	57.55
199010	56.3
199011	58.5
199012	56.7
199013	56.7
199014	56.1
199015	58.15
199016	55.0
199017	57.08
199018	58.8
199019	57.0
199020	56.85
199021	57.67
199022	57.6
199023	56.7
199024	57.6
199025	58.1
199026	59.4
199027	58.97
199028	58.0
199029	59.4
199030	60.0
199031	56.7
199032	57.67
199033	59.67
199034	59.47
199035	56.1
199036	57.0
199037	59.8
199038	58.2
199039	57.6
199040	58.0
199041	58.5
199042	59.9
199043	58.5
199044	60.0
199045	58.8
199046	61.5
199047	57.0
199048	60.0
199049	57.67
199050	60.45
199051	58.05
199052	59.63
199101	58.5
199102	57.5
199103	59.4
199104	57.15
199105	57.28
199106	58.0
199107	60.3
199108	58.7
199109	59.85
199110	56.4
199111	58.75
199112	56.7
199113	57.97
199114	57.75
199115	58.0
199116	56.7
199117	55.5
199118	59.4
199119	58.3
199120	59.0
199121	58.82
199122	59.0
199123	61.2
199124	61.78
199125	63.9
199126	63.75
199127	64.35
199128	63.7
199129	62.1
199130	61.03
199131	63.0
199132	63.8
199133	61.5
199134	62.45
199135	62.5
199136	63.53
199137	61.6
199138	62.4
199139	62.15
199140	63.0
199141	62.22
199142	62.05
199143	63.13
199144	60.75
199145	62.0
199146	63.0
199147	60.5
199148	62.4
199149	61.2
199150	61.05
199151	61.6
199152	61.1
199201	63.9
199202	60.0
199203	57.8
199204	57.55
199205	62.0
199206	60.0
199207	62.3
199208	63.0
199209	60.8
199210	61.05
199211	61.8
199212	61.8
199213	61.05
199214	61.25
199215	61.75
199216	63.2
199217	60.8
199218	59.95
